productId,language,packageName,version,referenceUrl
94,NODEJS,@google-cloud/automl,1.10.1,https://googleapis.dev/nodejs/automl/latest
33,NODEJS,@google-cloud/bigtable,2.3.1,https://googleapis.dev/nodejs/bigtable/latest
46,NODEJS,@google-cloud/billing-budgets,1.0.1,https://googleapis.dev/nodejs/billingbudgets/latest/index.html
49,NODEJS,@google-cloud/cloudbuild,1.3.1,https://googleapis.dev/nodejs/cloudbuild/latest/index.html
56,NODEJS,@google-cloud/dns,1.2.8,https://googleapis.dev/nodejs/dns/latest
54,NODEJS,@google-cloud/dataproc,1.4.6,https://googleapis.dev/nodejs/dataproc/latest
14,NODEJS,@google-cloud/datastore,5.0.3,https://googleapis.dev/nodejs/datastore/latest
20,NODEJS,@google-cloud/kms,1.6.2,https://googleapis.dev/nodejs/kms/latest
35,NODEJS,@google-cloud/redis,1.5.0,https://googleapis.dev/nodejs/redis/latest
5,NODEJS,@google-cloud/language,3.7.0,https://googleapis.dev/nodejs/language/latest
89,NODEJS,@google-cloud/os-login,2.0.1,https://googleapis.dev/nodejs/oslogin/latest
19,NODEJS,@google-cloud/pubsub,1.1.6-beta.0,https://googleapis.dev/nodejs/pubsub/latest
90,NODEJS,@google-cloud/rcloadenv,1.1.5,https://www.npmjs.com/package/@google-cloud/rcloadenv
134,NODEJS,@google-cloud/scheduler,1.4.1,https://googleapis.dev/nodejs/scheduler/latest
9,NODEJS,@google-cloud/spanner,4.6.0,https://googleapis.dev/nodejs/spanner/latest
311,NODEJS,@google-cloud/secret-manager,3.1.0,https://googleapis.dev/nodejs/secretmanager/latest/index.html
3,NODEJS,@google-cloud/speech,3.5.4,https://googleapis.dev/nodejs/speech/latest
13,NODEJS,@google-cloud/storage,4.3.0,https://googleapis.dev/nodejs/storage/latest
62,NODEJS,@google-cloud/talent,1.7.0,https://googleapis.dev/nodejs/talent/latest
12,NODEJS,@google-cloud/tasks,1.7.1,https://googleapis.dev/nodejs/tasks/latest
4,NODEJS,@google-cloud/translate,5.1.4,https://googleapis.dev/nodejs/translate/latest
2,NODEJS,@google-cloud/vision,1.8.0,https://googleapis.dev/nodejs/vision/latest
48,NODEJS,@google-cloud/compute,1.2.0,https://googleapis.dev/nodejs/compute/latest
10,NODEJS,@google-cloud/dlp,2.0.0,https://googleapis.dev/nodejs/dlp/latest
8,NODEJS,dialogflow,4.0.3,https://googleapis.dev/nodejs/dialogflow/latest
63,NODEJS,@google-cloud/container,1.6.1,https://googleapis.dev/nodejs/container/latest
70,NODEJS,@google-cloud/resource,1.1.5,https://googleapis.dev/nodejs/resource/latest
55,NODEJS,@google-cloud/debug-agent,4.2.2,https://googleapis.dev/nodejs/debugger/latest/
58,NODEJS,@google-cloud/error-reporting,1.1.3,https://googleapis.dev/nodejs/error-reporting/latest/
17,NODEJS,@google-cloud/logging,7.0.1,https://googleapis.dev/nodejs/logging/latest
16,NODEJS,@google-cloud/monitoring,1.7.0,https://googleapis.dev/nodejs/monitoring/latest
